Year,Month,tMax,tMin,Air Frost,Rainfall,Sun hours
1866,8,7.9,0.6,0.0,92.5,
1866,9,5.1,7.6,0.0,99.3,
1866,10,3.5,7.2,0.0,56.0,
1866,11,0.2,4.4,0.0,85.0,
1866,12,9.5,3.4,3.0,,
1867,1,4.2,2.2,18.0,121.0,
1867,2,9.8,4.1,0.0,93.6,
1867,3,7.0,0.5,13.0,56.1,
1867,4,2.8,5.9,0.0,134.2,
1867,5,5.4,7.5,0.0,107.6,
1867,6,8.9,0.8,0.0,23.2,
1867,7,9.6,1.0,0.0,108.4,
1867,8,9.9,2.2,0.0,68.1,
1867,9,7.1,9.7,0.0,35.4,
1867,10,2.8,6.6,0.0,125.2,
1867,11,9.0,3.3,4.0,25.0,
1867,12,7.8,2.4,9.0,55.6,
1868,1,7.3,1.9,7.0,138.2,
1868,2,9.9,3.5,3.0,96.8,
1868,3,1.2,4.1,1.0,128.1,
1868,4,4.1,5.6,0.0,76.7,
1868,5,6.9,8.1,0.0,47.8,
1868,6,9.9,0.7,0.0,28.8,
1868,7,2.9,3.0,0.0,29.3,
1868,8,9.7,1.5,0.0,91.1,
1868,9,7.1,9.7,0.0,53.8,
1868,10,2.0,4.6,1.0,73.1,
1868,11,7.9,2.2,6.0,111.7,
1868,12,9.5,3.6,2.0,162.9,
1869,1,8.5,4.1,2.0,91.6,
1869,2,0.4,4.8,0.0,183.1,
1869,3,8.1,1.1,10.0,66.0,
1869,4,4.5,5.6,0.0,86.8,
1869,5,2.6,5.0,0.0,71.3,
1869,6,7.9,8.8,0.0,31.4,
1869,7,2.5,2.6,0.0,46.0,
1869,8,9.7,1.0,0.0,43.8,
1869,9,7.0,0.0,0.0,125.7,
1869,10,4.2,7.6,0.0,51.0,
1869,11,0.4,3.1,9.0,123.7,
1869,12,6.2,0.5,12.0,162.8,
1870,1,6.9,1.0,11.0,92.1,
1870,2,6.7,0.2,12.0,68.6,
1870,3,0.2,2.4,7.0,36.2,
1870,4,4.5,5.1,0.0,33.5,
1870,5,6.0,7.4,0.0,60.1,
1870,6,9.8,0.5,0.0,23.7,
1870,7,1.6,2.7,0.0,41.3,
1870,8,1.6,1.1,0.0,51.9,
1870,9,8.2,0.3,0.0,75.0,
1870,10,3.1,5.7,1.0,226.4,
1870,11,8.5,2.1,7.0,45.3,
1870,12,4.7,1.5,17.0,91.1,
1871,1,5.1,0.1,14.0,104.8,
1871,2,0.2,4.8,0.0,88.5,
1871,3,1.6,3.2,4.0,52.7,
1871,4,3.2,5.3,1.0,86.0,
1871,5,7.4,7.1,0.0,10.1,
1871,6,8.5,0.0,0.0,44.3,
1871,7,9.8,1.2,0.0,118.1,
1871,8,0.8,2.0,0.0,65.6,
1871,9,6.0,8.3,0.0,102.1,
1871,10,3.8,6.7,0.0,74.4,
1871,11,8.4,2.5,5.0,50.3,
1871,12,7.6,1.1,9.0,64.7,
1872,1,7.9,1.5,8.0,150.4,
1872,2,9.9,4.2,0.0,86.5,
1872,3,0.6,3.6,4.0,67.5,
1872,4,3.1,4.5,0.0,106.7,
1872,5,4.4,6.2,0.0,55.5,
1872,6,8.2,9.5,0.0,93.8,
1872,7,1.3,2.7,0.0,64.2,
1872,8,9.8,1.9,0.0,65.1,
1872,9,6.4,9.7,0.0,131.9,
1872,10,1.8,4.5,1.0,133.5,
1872,11,9.2,2.8,3.0,135.0,
1872,12,7.4,2.0,11.0,158.9,
1873,1,7.8,1.9,6.0,152.7,
1873,2,6.2,0.4,14.0,12.5,
1873,3,9.2,2.1,6.0,53.8,
1873,4,3.1,4.6,2.0,13.7,
1873,5,5.3,6.1,0.0,49.0,
1873,6,9.8,0.7,0.0,34.9,
1873,7,0.5,2.5,0.0,134.1,
1873,8,8.6,1.6,0.0,123.6,
1873,9,6.2,7.8,0.0,70.6,
1873,10,1.9,4.5,5.0,79.8,
1873,11,9.3,2.9,0.0,79.8,
1873,12,9.9,4.1,3.0,36.4,
1874,1,8.9,2.6,3.0,74.8,
1874,2,9.0,2.4,3.0,55.0,
1874,3,1.4,4.1,4.0,60.7,
1874,4,4.8,5.5,0.0,55.3,
1874,5,5.2,6.6,0.0,29.0,
1874,6,0.0,9.5,0.0,28.9,
1874,7,1.6,2.4,0.0,76.7,
1874,8,9.7,1.1,0.0,105.7,
1874,9,6.2,9.5,0.0,79.0,
1874,10,2.7,4.9,0.0,97.2,
1874,11,0.4,4.4,1.0,81.7,
1874,12,4.8,1.6,21.0,77.3,
1875,1,9.7,3.9,3.0,98.9,
1875,2,7.3,1.1,6.0,43.7,
1875,3,9.5,2.9,3.0,30.8,
1875,4,4.7,4.5,0.0,8.4,
1875,5,7.7,8.2,0.0,42.7,
1875,6,8.6,9.5,0.0,83.4,
1875,7,9.5,0.0,0.0,96.3,
1875,8,0.7,2.8,0.0,95.0,
1875,9,8.3,1.1,0.0,128.1,
1875,10,2.8,6.5,0.0,120.9,
1875,11,8.6,2.6,8.0,100.8,
1875,12,7.3,0.8,12.0,51.6,
1876,1,8.3,2.3,8.0,33.4,
1876,2,8.5,1.0,9.0,99.8,
1876,3,8.3,0.2,14.0,90.3,
1876,4,2.5,3.7,4.0,46.1,
1876,5,5.7,6.2,0.0,12.0,
1876,6,9.1,9.3,0.0,38.6,
1876,7,1.8,1.5,0.0,52.3,
1876,8,0.5,1.1,0.0,66.1,
1876,9,6.4,9.0,0.0,70.6,
1876,10,4.2,8.7,0.0,98.6,
1876,11,9.8,4.3,5.0,71.5,
1876,12,9.1,3.3,6.0,178.3,
1877,1,8.5,2.0,5.0,133.5,
1877,2,9.4,2.8,3.0,76.8,
1877,3,9.8,1.5,9.0,73.2,
1877,4,0.7,3.8,0.0,81.4,
1877,5,4.3,5.3,1.0,69.1,
1877,6,9.7,0.3,0.0,78.0,
1877,7,9.0,0.8,0.0,80.7,
1877,8,8.9,1.0,0.0,77.8,
1877,9,6.0,7.6,0.0,47.8,
1877,10,3.9,6.7,0.0,87.1,
1877,11,0.0,3.3,2.0,95.9,
1877,12,8.4,1.9,6.0,88.6,
1878,1,8.5,2.3,6.0,90.6,
1878,2,9.6,3.5,2.0,42.8,
1878,3,0.2,2.9,8.0,38.3,
1878,4,3.8,5.2,2.0,34.3,
1878,5,6.3,7.9,0.0,105.8,
1878,6,9.4,0.6,0.0,91.4,
1878,7,1.5,2.2,0.0,4.3,
1878,8,0.6,2.5,0.0,72.5,
1878,9,7.8,9.9,0.0,109.5,
1878,10,3.9,7.4,0.0,75.5,
1878,11,6.9,0.3,16.0,42.8,
1878,12,3.3,4.2,27.0,47.1,
1879,1,4.2,2.0,21.0,45.0,
1879,2,6.7,0.7,9.0,43.6,
1879,3,8.6,1.0,10.0,52.2,
1879,4,0.9,2.6,4.0,61.4,
1879,5,4.4,4.8,0.0,87.6,
1879,6,7.8,9.8,0.0,136.2,
1879,7,7.7,0.6,0.0,133.2,
1879,8,8.7,0.5,0.0,81.1,
1879,9,5.7,8.2,0.0,96.0,
1879,10,2.4,5.5,1.0,38.5,
1879,11,9.0,2.9,5.0,35.4,
1879,12,5.4,1.4,16.0,49.0,
1880,1,6.8,1.3,9.0,35.0,
1880,2,9.7,3.0,3.0,67.2,
1880,3,1.3,3.2,2.0,48.9,
1880,4,2.7,3.9,0.0,108.6,
1880,5,6.1,6.5,0.0,27.2,
1880,6,7.0,9.7,0.0,111.9,
1880,7,7.1,0.9,0.0,149.1,
1880,8,9.6,3.1,0.0,27.7,
1880,9,7.1,0.6,0.0,105.7,
1880,10,9.4,3.4,4.0,28.4,
1880,11,8.1,2.8,6.0,88.4,
1880,12,6.9,2.2,12.0,64.2,
1881,1,2.0,3.3,20.0,10.3,
1881,2,6.2,1.6,7.0,70.5,
1881,3,8.3,2.2,12.0,81.6,
1881,4,0.4,3.8,5.0,52.0,
1881,5,5.6,7.4,0.0,52.3,
1881,6,5.9,9.2,0.0,103.6,
1881,7,7.9,1.0,0.0,64.4,
1881,8,6.0,9.8,0.0,106.8,
1881,9,4.9,8.5,0.0,57.1,
1881,10,0.8,5.1,3.0,56.7,
1881,11,1.5,5.9,0.0,87.8,
1881,12,6.2,1.2,9.0,74.6,
1882,1,8.3,3.9,0.0,47.6,
1882,2,9.5,4.7,0.0,47.4,
1882,3,0.4,4.2,1.0,76.2,
1882,4,1.1,4.0,1.0,93.8,
1882,5,5.3,6.3,0.0,86.1,
1882,6,6.2,8.9,0.0,77.3,
1882,7,7.4,1.0,0.0,124.7,
1882,8,7.7,1.2,0.0,78.8,
1882,9,4.0,7.6,0.0,78.3,
1882,10,2.3,6.6,1.0,66.0,
1882,11,7.9,1.9,6.0,114.0,
1882,12,4.7,0.1,11.0,87.2,
1883,1,7.5,2.8,1.0,99.5,
1883,2,7.9,2.9,2.0,102.2,
1883,3,6.5,0.2,17.0,32.4,
1883,4,1.9,3.6,1.0,50.3,
1883,5,4.0,6.0,0.0,53.2,
1883,6,6.3,9.0,0.0,72.1,
1883,7,6.6,9.8,0.0,51.5,
1883,8,7.5,1.1,0.0,58.7,
1883,9,5.2,9.2,0.0,125.0,
1883,10,2.3,6.2,0.0,78.7,
1883,11,8.2,2.7,3.0,107.4,
1883,12,7.7,2.6,4.0,54.5,
1884,1,8.1,3.7,3.0,113.9,
1884,2,7.4,2.4,2.0,88.0,
1884,3,9.0,3.6,2.0,85.6,
1884,4,1.2,3.2,2.0,42.6,
1884,5,4.6,5.9,0.0,75.8,
1884,6,7.4,8.9,0.0,21.3,
1884,7,8.4,1.5,0.0,95.2,
1884,8,8.8,1.8,0.0,62.5,
1884,9,6.8,9.5,0.0,71.5,
1884,10,2.2,5.9,0.0,93.6,
1884,11,8.2,4.6,0.0,51.1,
1884,12,6.2,1.6,6.0,86.1,
1885,1,6.5,1.5,6.0,54.9,
1885,2,8.9,1.7,7.0,77.3,
1885,3,8.5,0.2,16.0,43.5,
1885,4,1.1,3.4,2.0,62.1,
1885,5,2.6,3.9,1.0,38.0,
1885,6,7.0,7.2,0.0,14.1,
1885,7,9.8,0.2,0.0,48.5,
1885,8,8.5,9.0,0.0,49.5,
1885,9,5.3,7.2,0.0,110.6,
1885,10,0.1,3.5,3.0,74.2,
1885,11,8.8,3.2,5.0,46.2,
1885,12,6.9,1.8,11.0,36.0,
1886,1,4.7,0.8,18.0,107.9,
1886,2,5.9,0.7,11.0,50.4,
1886,3,7.5,1.3,16.0,61.6,
1886,4,1.4,2.5,6.0,33.1,
1886,5,3.6,5.1,0.0,90.0,
1886,6,7.0,8.6,0.0,41.8,
1886,7,8.4,0.3,0.0,76.3,
1886,8,8.5,0.4,0.0,63.0,
1886,9,5.8,7.7,0.0,83.6,
1886,10,3.1,7.0,0.0,120.5,
1886,11,9.7,3.7,0.0,75.0,
1886,12,4.6,1.1,10.0,106.1,
1887,1,6.6,1.2,12.0,54.4,
1887,2,8.5,1.6,8.0,34.1,
1887,3,8.1,0.7,12.0,25.6,
1887,4,0.8,1.1,12.0,37.1,
1887,5,4.5,5.7,1.0,34.0,
1887,6,1.5,0.3,0.0,16.9,
1887,7,0.2,1.7,0.0,81.9,
1887,8,8.7,9.9,0.0,111.0,
1887,9,5.2,6.8,0.0,43.8,
1887,10,0.6,4.4,2.0,45.6,
1887,11,7.4,1.5,7.0,57.3,
1887,12,6.2,0.6,11.0,64.8,
1888,1,8.0,2.2,8.0,38.2,
1888,2,5.9,0.1,17.0,7.4,
1888,3,6.4,0.5,18.0,77.0,
1888,4,0.8,2.7,5.0,42.1,
1888,5,5.1,5.2,0.0,55.3,
1888,6,6.8,8.2,0.0,123.6,
1888,7,6.8,9.4,0.0,110.7,
1888,8,7.5,9.1,0.0,64.8,
1888,9,5.1,6.8,0.0,23.9,
1888,10,2.4,5.0,2.0,30.5,
1888,11,0.0,4.9,1.0,112.8,
1888,12,8.3,2.6,7.0,59.6,
1889,1,7.5,2.0,6.0,56.5,
1889,2,7.0,0.4,11.0,37.5,
1889,3,9.3,2.2,11.0,43.5,
1889,4,0.0,3.6,0.0,80.9,
1889,5,5.7,7.8,0.0,80.1,
1889,6,9.1,8.7,0.0,6.2,
1889,7,8.6,9.1,0.0,73.9,
1889,8,7.0,0.2,0.0,169.0,
1889,9,6.0,9.0,0.0,53.6,
1889,10,1.6,4.5,1.0,84.0,
1889,11,9.9,4.5,5.0,35.1,
1889,12,8.3,2.7,4.0,57.6,
1890,1,8.8,2.6,5.0,77.4,
1890,2,6.9,1.5,6.0,21.0,
1890,3,9.9,2.7,8.0,65.8,
1890,4,2.0,2.6,4.0,33.3,
1890,5,5.2,6.9,0.0,35.1,
1890,6,7.1,9.2,0.0,64.3,
1890,7,7.6,9.3,0.0,58.2,
1890,8,7.1,8.4,0.0,86.9,
1890,9,7.8,0.3,0.0,72.5,
1890,10,3.5,6.6,0.0,60.7,
1890,11,9.7,2.8,6.0,154.4,
1890,12,5.1,0.2,13.0,39.8,
1891,1,5.9,0.1,10.0,31.8,
1891,2,0.1,2.2,6.0,5.5,
1891,3,8.4,0.2,14.0,44.1,
1891,4,9.8,1.7,6.0,55.3,
1891,5,3.5,4.3,1.0,53.0,
1891,6,8.9,9.7,0.0,67.8,
1891,7,8.4,0.5,0.0,39.4,
1891,8,7.2,0.4,0.0,122.6,
1891,9,7.2,9.4,0.0,41.5,
1891,10,2.7,4.4,4.0,86.5,
1891,11,8.2,2.3,4.0,67.0,
1891,12,7.8,2.0,6.0,109.1,
1892,1,5.4,0.5,14.0,52.6,
1892,2,6.7,1.4,10.0,27.5,
1892,3,7.4,1.0,21.0,18.4,
1892,4,3.1,1.4,9.0,17.9,
1892,5,5.3,6.4,1.0,129.7,
1892,6,7.2,7.5,0.0,65.6,
1892,7,7.3,9.3,0.0,67.9,
1892,8,7.7,0.2,0.0,196.1,
1892,9,4.9,7.3,0.0,57.5,
1892,10,0.3,2.4,6.0,59.3,
